时间,销量(辆)
2023-05,4083
2023-04,2437
2023-03,3625
2023-02,3521
2023-01,4469
2022-12,10180
2022-11,8277
2022-10,12038
2022-09,10098
2022-08,22176
2022-07,7228
2022-06,7021
2022-05,5033
2022-04,3245
2022-03,3045
2022-02,1061
2022-01,815
2023-05,4083
2023-04,2437
2023-03,3625
2023-02,3521
2023-01,4469
2022-12,10180
2022-11,8277
2022-10,12038
2022-09,10098
2022-08,22176
2022-07,7228
2022-06,7021
2022-05,5033
2022-04,3245
2022-03,3045
2022-02,1061
2022-01,815
